번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분
1273,300080,플리토,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","5,183,811","2,591,905,500",500,원(KRW)
1274,032580,피델릭스,032601,반도체 제조업,"26,299,866","13,149,933,000",500,원(KRW)
1275,051380,피씨디렉트,074605,기계장비 및 관련 물품 도매업,"7,668,536","3,834,268,000",500,원(KRW)
1276,241820,피씨엘,032103,의료용품 및 기타 의약 관련제품 제조업,"9,528,497","4,764,248,500",500,원(KRW)
1277,237750,피앤씨테크,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","6,496,600","3,248,300,000",500,원(KRW)
1278,131390,피앤이솔루션,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","14,280,000","7,140,000,000",500,원(KRW)
1279,054340,피앤텔,032604,통신 및 방송 장비 제조업,"4,031,039","2,015,519,500",500,원(KRW)
1280,024850,피에스엠씨,032602,전자부품 제조업,"40,016,523","20,008,261,500",500,원(KRW)
1281,319660,피에스케이,032902,특수 목적용 기계 제조업,"14,765,020","7,382,510,000",500,원(KRW)
1282,031980,피에스케이홀딩스,032902,특수 목적용 기계 제조업,"5,566,584","2,783,292,000",500,원(KRW)
1283,002230,피에스텍,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","19,669,243","9,834,621,500",500,원(KRW)
1284,137400,피엔티,032902,특수 목적용 기계 제조업,"19,471,552","9,735,776,000",500,원(KRW)
1285,128660,피제이메탈,032402,1차 비철금속 제조업,"24,803,369","12,401,684,500",500,원(KRW)
1286,006140,피제이전자,032701,의료용 기기 제조업,"15,000,000","7,500,000,000",500,원(KRW)
1287,062970,피피아이,032604,통신 및 방송 장비 제조업,"9,308,185","4,654,092,500",500,원(KRW)
1288,087600,픽셀플러스,032602,전자부품 제조업,"8,166,558","4,083,279,000",500,원(KRW)
1289,057880,필로시스헬스케어,074704,"섬유, 의복, 신발 및 가죽제품 소매업","45,481,944","22,740,972,000",500,원(KRW)
1290,064800,필링크,074704,"섬유, 의복, 신발 및 가죽제품 소매업","72,111,959","7,211,195,900",100,원(KRW)
1291,161580,필옵틱스,032902,특수 목적용 기계 제조업,"18,747,095","9,373,547,500",500,원(KRW)
1292,270520,하나금융10호스팩,116601,금융 지원 서비스업,"4,602,000","460,200,000",100,원(KRW)
1293,284620,하나금융11호스팩,116601,금융 지원 서비스업,"5,401,000","540,100,000",100,원(KRW)
1294,320000,하나금융13호스팩,116601,금융 지원 서비스업,"3,401,000","340,100,000",100,원(KRW)
1295,332710,하나금융14호스팩,116601,금융 지원 서비스업,"4,410,000","441,000,000",100,원(KRW)
1296,341160,하나금융15호스팩,116601,금융 지원 서비스업,"4,710,000","471,000,000",100,원(KRW)
1297,261200,하나금융9호스팩,116601,금융 지원 서비스업,"4,260,000","426,000,000",100,원(KRW)
1298,067310,하나마이크론,032601,반도체 제조업,"27,675,085","13,837,542,500",500,원(KRW)
1299,307160,하나머스트제6호스팩,116601,금융 지원 서비스업,"4,590,000","459,000,000",100,원(KRW)
1300,166090,하나머티리얼즈,032601,반도체 제조업,"19,627,674","9,813,837,000",500,원(KRW)
1301,136480,하림,031001,"도축, 육류 가공 및 저장 처리업","86,945,938","43,472,969,000",500,원(KRW)
1302,003380,하림지주,116409,기타 금융업,"93,584,198","9,358,419,800",100,원(KRW)
1303,149980,하이로닉,032701,의료용 기기 제조업,"14,099,995","1,409,999,500",100,원(KRW)
1304,013030,하이록코리아,032401,1차 철강 제조업,"13,613,232","6,806,616,000",500,원(KRW)
1305,126700,하이비젼시스템,032703,사진장비 및 광학기기 제조업,"14,942,112","7,471,056,000",500,원(KRW)
1306,200470,하이셈,137309,"그외 기타 전문, 과학 및 기술 서비스업","17,553,680","8,776,840,000",500,원(KRW)
1307,106080,하이소닉,032602,전자부품 제조업,"14,762,358","14,762,358,000","1,000",원(KRW)
1308,317240,하이제4호스팩,116601,금융 지원 서비스업,"4,400,000","440,000,000",100,원(KRW)
1309,340120,하이제5호스팩,116601,금융 지원 서비스업,"5,020,000","502,000,000",100,원(KRW)
1310,221840,하이즈항공,033103,"항공기,우주선 및 부품 제조업","17,696,167","8,848,083,500",500,원(KRW)
1311,106190,하이텍팜,074607,기타 전문 도매업,"7,088,782","3,544,391,000",500,원(KRW)
1312,066130,하츠,032805,가정용 기기 제조업,"12,800,000","6,400,000,000",500,원(KRW)
1313,004590,한국가구,074604,생활용품 도매업,"15,000,000","1,500,000,000",100,원(KRW)
1314,039340,한국경제TV,106002,텔레비전 방송업,"23,000,000","11,500,000,000",500,원(KRW)
1315,034950,한국기업평가,147509,기타 사업지원 서비스업,"4,540,514","24,452,570,000","5,000",원(KRW)
1316,222980,한국맥널티,031007,기타 식품 제조업,"9,950,000","4,975,000,000",500,원(KRW)
1317,318000,한국바이오젠,032002,합성고무 및 플라스틱 물질 제조업,"8,129,825","1,625,965,000",200,원(KRW)
1318,256840,한국비엔씨,032101,기초 의약물질 및 생물학적 제제 제조업,"46,213,967","4,621,396,700",100,원(KRW)
1319,025550,한국선재,032401,1차 철강 제조업,"24,522,254","12,261,127,000",500,원(KRW)
1320,023890,한국아트라스비엑스,032802,일차전지 및 축전지 제조업,"9,150,000","9,150,000,000","1,000",원(KRW)
1321,017890,한국알콜,032004,기타 화학제품 제조업,"21,605,760","10,802,880,000",500,원(KRW)
1322,080720,한국유니온제약,032102,의약품 제조업,"5,903,728","2,951,864,000",500,원(KRW)
1323,063570,한국전자금융,147509,기타 사업지원 서비스업,"34,147,728","17,073,864,000",500,원(KRW)
1324,041460,한국전자인증,105802,소프트웨어 개발 및 공급업,"21,459,249","10,729,624,500",500,원(KRW)
1325,101680,한국정밀기계,032902,특수 목적용 기계 제조업,"8,404,000","4,202,000,000",500,원(KRW)
